​;Fairing Ogive​;;;Fairing cylinder​;;;;;;;;;;;Fairing boat-tail​;;;;;Intermediate section​;;;;;;Flare​;;;;I Stage​;;
Location​;1​;2​;2​;3​;3​;3​;4​;4​;4​;4​;4​;4​;4​;5​;6​;6​;7​;7​;7​;8​;8​;9​;9​;10​;10​;11​;11​;11​;12​;13​;13​;14​
Layout​;1​;2​;2​;5​;5​;5​;4​;4​;4​;4​;4​;4​;4​;1​;2​;2​;5​;5​;5​;2​;2​;2​;2​;2​;2​;5​;5​;5​;1​;3​;3​;1​
N. Sensor​;1​;2​;3​;4​;5​;6​;7​;8​;9​;10​;11​;12​;13​;14​;15​;16​;17​;18​;19​;20​;21​;22​;23​;24​;25​;26​;27​;28​;29​;30​;31​;32​
X [mm]​;943​;884​;881​;878​;875​;875​;844​;841​;841​;841​;838​;832​;823​;805​;800​;797​;750​;747​;747​;741​;738​;565​;562​;383​;380​;377​;374​;374​;310​;307​;307​;3​
S[mm]​;0​;0​;0​;0​;0​;-3​;0​;0​;-3​;-6​;0​;0​;0​;0​;0​;0​;0​;0​;-3​;0​;0​;0​;0​;0​;0​;0​;0​;-3​;0​;0​;-3​;0​
